city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,9
sj,2008,20,28
sj,2008,21,10
sj,2008,22,12
sj,2008,23,39
sj,2008,24,27
sj,2008,25,41
sj,2008,26,23
sj,2008,27,23
sj,2008,28,60
sj,2008,29,33
sj,2008,30,35
sj,2008,31,23
sj,2008,32,63
sj,2008,33,49
sj,2008,34,35
sj,2008,35,40
sj,2008,36,92
sj,2008,37,73
sj,2008,38,77
sj,2008,39,52
sj,2008,40,18
sj,2008,41,36
sj,2008,42,46
sj,2008,43,44
sj,2008,44,21
sj,2008,45,53
sj,2008,46,35
sj,2008,47,31
sj,2008,48,37
sj,2008,49,18
sj,2008,50,12
sj,2008,51,51
sj,2008,52,24
sj,2009,1,28
sj,2009,2,19
sj,2009,3,31
sj,2009,4,22
sj,2009,5,19
sj,2009,6,20
sj,2009,7,18
sj,2009,8,9
sj,2009,9,16
sj,2009,10,23
sj,2009,11,16
sj,2009,12,17
sj,2009,13,12
sj,2009,14,10
sj,2009,15,28
sj,2009,16,21
sj,2009,17,11
sj,2009,18,27
sj,2009,19,22
sj,2009,20,46
sj,2009,21,27
sj,2009,22,59
sj,2009,23,77
sj,2009,24,23
sj,2009,25,41
sj,2009,26,169
sj,2009,27,68
sj,2009,28,34
sj,2009,29,36
sj,2009,30,40
sj,2009,31,48
sj,2009,32,50
sj,2009,33,46
sj,2009,34,29
sj,2009,35,54
sj,2009,36,51
sj,2009,37,45
sj,2009,38,35
sj,2009,39,34
sj,2009,40,68
sj,2009,41,64
sj,2009,42,77
sj,2009,43,33
sj,2009,44,38
sj,2009,45,65
sj,2009,46,37
sj,2009,47,165
sj,2009,48,50
sj,2009,49,23
sj,2009,50,18
sj,2009,51,44
sj,2009,52,28
sj,2010,53,28
sj,2010,1,29
sj,2010,2,20
sj,2010,3,56
sj,2010,4,37
sj,2010,5,38
sj,2010,6,20
sj,2010,7,11
sj,2010,8,10
sj,2010,9,86
sj,2010,10,45
sj,2010,11,37
sj,2010,12,63
sj,2010,13,28
sj,2010,14,13
sj,2010,15,22
sj,2010,16,26
sj,2010,17,47
sj,2010,18,28
sj,2010,19,53
sj,2010,20,29
